age,pco2,std
-310000000.0,495.06857619047616,313.17954285714285
-308850000.0,461.23208902953587,146.95862489451477
-307700000.0,475.03038897590363,119.25039409638555
-306550000.0,370.7973118072289,138.5242318072289
-305400000.0,315.1667743373494,116.15283578313253
-305200000.0,318.91836,112.18285548192773
-305000000.0,343.84234050632915,117.37997341772154
-304800000.0,373.7920325301205,129.01332289156628
-304600000.0,400.1629754216867,130.84402542168675
-304400000.0,450.0699470481928,136.93624445783132
-304200000.0,508.24883725135624,134.1935849909584
-304000000.0,555.3914286746988,151.72914879518072
-303800000.0,575.0281047619047,171.68432477396018
-303600000.0,564.0455339759036,187.49818210843372
-303400000.0,537.7939766124172,192.1194678722122
-303200000.0,508.4990390361446,188.32704915662654
-303000000.0,481.0868382157927,167.58374882459313
-302800000.0,463.05339518072293,138.5167493975904
-302600000.0,437.12584159132007,148.07787468354428
-302400000.0,422.269554939759,195.70870373493977
-302200000.0,419.5483005424955,228.36923254972876
-302000000.0,425.1853657831325,243.02774216867468
-301800000.0,428.3628528631706,237.90878752260397
-301600000.0,434.39034578313255,235.41829060240963
-301400000.0,438.6881658227848,222.71326582278482
-301200000.0,440.21107710843376,206.7988265060241
-301000000.0,437.3275281325301,190.0493823493976
-300800000.0,431.3053174698795,172.83898192771085
-300600000.0,425.66657082579866,161.89395075346593
-300400000.0,414.80348650602406,148.92679253012045
-300200000.0,400.7795133212779,138.3566392405063
-300000000.0,377.4538956626506,123.91609686746989
-299800000.0,352.1346567811935,114.0061869801085
-299600000.0,329.6694803012048,115.71896656626508
-299400000.0,307.9710108499096,116.53987016274866
-299200000.0,294.5131956626506,124.85413397590361
-299000000.0,283.93836999999996,131.33250999999998
-298800000.0,276.89185090361445,138.52551144578314
-298600000.0,272.53571808318264,138.60701832429174
-298400000.0,268.9637443373494,134.46762939759034
-298200000.0,269.7728306024096,131.63931638554217
-298000000.0,276.2797629294756,126.87317920433998
-297800000.0,286.11481308016874,124.34095443037974
-297600000.0,301.68431722891563,121.94389903614457
-297400000.0,318.8382439759036,119.34850698795181
-297200000.0,333.04545635925257,118.78987076552139
-297000000.0,354.6355538554217,127.7316196987952
-296800000.0,377.66526987951806,145.54288433734942
-296600000.0,371.8833142857143,164.8076
-296400000.0,334.09555555555556,164.86111111111111
-296200000.0,302.0703571428572,148.39285714285714
-296000000.0,275.3917857142857,131.1642857142857
-295800000.0,250.91107142857143,144.72392857142856
-295600000.0,228.6117857142857,155.43035714285713
-295400000.0,209.00214285714284,156.01214285714283
-295200000.0,198.845,156.655
-295000000.0,197.09142857142857,153.87142857142857
-294800000.0,205.43785714285713,149.5142857142857
-294600000.0,230.5092857142857,145.97142857142856
-294400000.0,260.05535714285713,140.12142857142857
-294200000.0,290.1757142857143,135.26892857142857
-294000000.0,319.23357142857145,131.81464285714284
-293800000.0,333.105,122.3075
-293600000.0,331.46,113.24142857142857
-293400000.0,320.65999999999997,109.72714285714287
-293200000.0,307.46000000000004,122.15571428571428
-293000000.0,289.59714285714284,119.38142857142857
-292800000.0,273.05535714285713,116.27071428571429
-292600000.0,259.6403571428571,116.155
-292400000.0,255.8475,118.45500000000001
-292200000.0,253.34071428571428,116.09357142857144
-292000000.0,252.3567857142857,111.78285714285714
-291000000.0,311.90500000000003,132.4125
-290000000.0,379.5042857142857,262.785
