,A,P,O,moldelta_A,U,moldelta_U,Age,phosphate_m,U_m,d235U,CO2_PAL,CO2atm
0,4.2668257271318554e+18,3462543424876791.5,3.7e+19,1.8013284364689338e+19,19600000000000.0,-8036000000000.001,-311000000.0,2.478556495974797,0.01403006442376521,-0.41000000000000003,1.7857142857142856,499.9999999999999
1,4.264827636416878e+18,3462226958872219.0,3.7e+19,1.8012828816578374e+19,19599602726651.535,-8035833666462.735,-310990675.9816113,2.4783299634017317,0.014029780047710475,-0.4099998239013085,1.7840422306846235,499.5318245916945
2,4.262932699922378e+18,3461645357642747.0,3.7e+19,1.8011893920184535e+19,19598869556719.156,-8035507498653.6045,-310981351.9632226,2.4779136418344647,0.014029255230292883,-0.4099985193227004,1.7824572214045482,499.08802199327346
3,4.259344263238777e+18,3460064942957307.0,3.7e+19,1.8008981066874524e+19,19596865493573.598,-8034544409026.253,-310962703.92644525,2.47678235000523,0.014027820682586685,-0.4099913025203455,1.7794576231326058,498.2481344771296
4,4.256150854549645e+18,3457891755110216.0,3.7e+19,1.8003762127318729e+19,19594071035726.38,-8032972055706.228,-310944055.88966787,2.4752267395205556,0.014025820354850666,-0.4099695280811987,1.7767903556532725,497.5012995829162
5,4.2533310431678126e+18,3455507586391495.5,3.7e+19,1.7996012664691804e+19,19590938254372.29,-8030832272152.121,-310925407.8528905,2.4735201047899036,0.014023577848512733,-0.4099258630637462,1.7744367952930815,496.8423026820627
6,4.2504171249467827e+18,3452676314251053.0,3.7e+19,1.7983716913304383e+19,19587108537658.7,-8027648098802.136,-310903212.8364791,2.471493424660739,0.014020836462175161,-0.4098434479682371,1.7720063272648732,496.1617716341644
7,4.24793099310535e+18,3450007204912043.0,3.7e+19,1.7968574056952183e+19,19583364166259.39,-8023895198267.082,-310881017.82006776,2.469582823845414,0.014018156167687467,-0.40973017353635427,1.769933988094357,495.5815166664199
8,4.2458175291253883e+18,3447589787438779.0,3.7e+19,1.7951169469621254e+19,19579825280468.156,-8019701703064.845,-310858822.8036564,2.4678523890041366,0.014015622963828316,-0.4095900544661598,1.7681732433046429,495.08850812529994
9,4.2442930483417247e+18,3445775156300132.5,3.7e+19,1.793522458532642e+19,19577047845420.08,-8015922501608.5205,-310840175.39186513,2.4665534404439033,0.014013634821345796,-0.4094551213697827,1.7669037293941416,494.7330442303596
10,4.2429671668375844e+18,3444155651452975.0,3.7e+19,1.791843869177373e+19,19574456728089.08,-8011978457948.932,-310821527.98007387,2.4653941671102184,0.014011780048739498,-0.40930783261288944,1.7657999700509281,494.4239916142598
11,4.2418149249265935e+18,3442719248984086.0,3.7e+19,1.790110669234172e+19,19572046870407.496,-8007923732975.007,-310802880.5682826,2.464365962050169,0.01401005502534538,-0.4091510604893764,1.764841040893656,494.1554914502236
12,4.239939084763976e+18,3440328586532300.5,3.7e+19,1.7865860719815864e+19,19567728164698.895,-7999677320422.0205,-310765604.87854385,2.4626546789780246,0.014006963611094412,-0.40881993316187903,1.7632804694136637,493.71853143582575
13,4.238529437781868e+18,3438491953412029.5,3.7e+19,1.7830887921444858e+19,19564012864310.957,-7991442624333.993,-310728329.1888051,2.461339980967809,0.01400430412620684,-0.4084766596587214,1.7621081932323062,493.39029410504565
14,4.2374714321033216e+18,3437103722509173.0,3.7e+19,1.7797262437584622e+19,19560822325067.633,-7983424296206.659,-310691053.49906635,2.4603462580595368,0.014002020275638963,-0.4081333679911668,1.7612286014683678,493.1440084111429
15,4.236391743350844e+18,3435686125248834.0,3.7e+19,1.775252953471914e+19,19556975910479.008,-7972525746236.374,-310637426.47692406,2.459331514136603,0.013999266936634936,-0.4076563668498737,1.760331209481122,492.8927386547141
16,4.235682401542867e+18,3434750759242395.0,3.7e+19,1.771289187390464e+19,19553823688656.805,-7962554804135.147,-310583799.4547818,2.458661960803432,0.013997010514428638,-0.40721216120784776,1.7597417588074549,492.72769246608726
17,4.235213099419433e+18,3434126970554454.0,3.7e+19,1.767867821386099e+19,19551204167819.89,-7953610792295.553,-310530172.4326395,2.4582154406259513,0.013995135410035713,-0.4068092545106106,1.7593518311807748,492.6185127306169
18,4.23499368101726e+18,3433834735141189.5,3.7e+19,1.765892949018919e+19,19549711318168.066,-7948258926379.694,-310494668.3319043,2.45800625278539,0.013994066798974993,-0.40656656239180194,1.7591695385032895,492.56747078092104
19,4.234825597862323e+18,3433612107247144.5,3.7e+19,1.7641314698186312e+19,19548380063841.516,-7943342591895.052,-310459164.2311691,2.4578468913723297,0.013993113861017549,-0.4063427540263446,1.7590299015070632,492.5283724219777
20,4.234697717008662e+18,3433442863061866.5,3.7e+19,1.7625654586062998e+19,19547189015401.574,-7938837836688.159,-310423660.1304339,2.457725743065044,0.01399226128518366,-0.40613705788760773,1.758923666743046,492.49862668805275
21,4.234555416104453e+18,3433253633824206.5,3.7e+19,1.760461832188892e+19,19545560318669.727,-7932544259954.723,-310368023.5050515,2.4575902890652874,0.013991095432118631,-0.4058489053587087,1.7588054565474134,492.46552783327564
22,4.234463528896915e+18,3433130761835449.0,3.7e+19,1.7587352115914756e+19,19544179696371.47,-7927106397164.087,-310312386.8796691,2.45750233488579,0.013990107155598761,-0.40559934058710156,1.7587291274159282,492.4441556764599
23,4.2344037798597463e+18,3433051000623895.5,3.7e+19,1.7573271887709573e+19,19543004814858.48,-7922427971741.558,-310256750.25428665,2.457445240246167,0.013989266152368276,-0.40538433300278176,1.7586794958014766,492.4302588244134
24,4.234379023819839e+18,3433049566021612.0,3.7e+19,1.7538733863810814e+19,19539907690716.137,-7909514721704.256,-310041422.7257748,2.457444213329715,0.013987049170161874,-0.4047877219738479,1.7586589319559975,492.4245009476793
25,4.2337423106861476e+18,3432618398082213.0,3.7e+19,1.7534034553940316e+19,19538859601296.848,-7907302491096.775,-309987590.8436469,2.4571355748619994,0.01398629892719889,-0.40469621321051646,1.758130081304937,492.27642276538234
26,4.2300698111844204e+18,3430291672921458.0,3.7e+19,1.7527455944967807e+19,19535484467312.074,-7904452992259.331,-309933758.96151894,2.4554700593568057,0.013983882940094542,-0.4046202696168364,1.7550812743753288,491.422756825092
27,4.226049935324357e+18,3428643826387455.5,3.7e+19,1.7511459065900464e+19,19532466271691.58,-7900016910291.818,-309879927.079391,2.454290498487799,0.013981722456472138,-0.40445567909370056,1.7517471182758755,490.48919311724507
28,4.225623963827386e+18,3428240104247484.0,3.7e+19,1.7505717021080967e+19,19531629541323.48,-7898556751825.908,-309865151.2810353,2.4540015062616205,0.01398112350846348,-0.40439824721817325,1.7513939957398064,490.3903188071458
29,4.2254347963983913e+18,3427398714083862.0,3.7e+19,1.75005267028687e+19,19530295674587.676,-7897103116483.428,-309850375.4826796,2.4533992226799297,0.01398016870049225,-0.4043514367659542,1.7512371908341147,490.3464134335521
30,4.2254671485378017e+18,3426789300651296.5,3.7e+19,1.7495127587901716e+19,19529227862064.33,-7895663283161.293,-309835599.6843239,2.452962992592195,0.013979404339344543,-0.4042998186578937,1.751264007713022,490.35392215964606
31,4.2258911875724083e+18,3426347493343944.5,3.7e+19,1.7486893136902556e+19,19528182300456.22,-7893585961167.507,-309813264.6192799,2.452646738256224,0.013978655905838381,-0.4042150897466323,1.7516155151484913,490.4523442415776
32,4.2267049637008835e+18,3426380002631758.0,3.7e+19,1.7479279076268315e+19,19527733801040.89,-7891739053290.108,-309790929.55423594,2.45267000904206,0.013978334861160267,-0.40412979476755534,1.7522901942045446,490.6412543772724
33,4.227847022265961e+18,3426818422903171.0,3.7e+19,1.7472865161767938e+19,19527831197092.504,-7890220961798.801,-309768594.48919195,2.452983838871275,0.013978404579164282,-0.4040500392574868,1.7532372621485903,490.9064334016052
34,4.2305865295350845e+18,3428466606999552.0,3.7e+19,1.7465573353465262e+19,19529253581167.61,-7888531366953.881,-309727924.28324956,2.454163641374053,0.013979422749583113,-0.4039340947756921,1.7555100796345153,491.5428222976643
35,4.233992870101903e+18,3430997185622417.0,3.7e+19,1.7465055777491534e+19,19532089437088.555,-7888429460949.703,-309687254.07730716,2.455975079185696,0.013981452710872266,-0.40387023038972675,1.758338185175639,492.33469184917885
36,4.2378837454077297e+18,3434180515628932.0,3.7e+19,1.747214600388287e+19,19536110048310.18,-7890073301175.165,-309646583.8713648,2.458253769240467,0.013984330743242792,-0.4038712559288452,1.761571359325412,493.23998061111536
37,4.241814425807794e+18,3437560862997796.5,3.7e+19,1.7485731828952603e+19,19540720530656.293,-7893208339307.333,-309608824.12334,2.4606734881873993,0.013987631016933639,-0.4039364017782323,1.76484062556894,494.15537515930316
38,4.2403218436623196e+18,3438587608715888.5,3.7e+19,1.7504288606057196e+19,19542763011913.035,-7896930613922.846,-309571064.37531525,2.4614084529104425,0.013989093065077333,-0.4040846531838395,1.763598842739379,493.80767596702606
39,4.228231710621725e+18,3435152955296663.5,3.7e+19,1.7514830035179078e+19,19539113681167.594,-7898184744051.523,-309533304.6272905,2.458949860627533,0.013986480802553753,-0.4042243099114593,1.7535563279236357,490.9957718186179
40,4.217400177070694e+18,3430828667880964.0,3.7e+19,1.7511170044994873e+19,19533755219495.83,-7896495563182.862,-309512268.59622043,2.4558544508811484,0.013982645110591144,-0.4042487209679836,1.7445836049277386,488.4834093797668
41,4.204164569034629e+18,3423820844432278.5,3.7e+19,1.749820915700932e+19,19524708524609.875,-7892356901969.601,-309491232.5651504,2.450838113408932,0.013976169308954813,-0.40422405753313534,1.7336506174126918,485.42217287555366
42,4.1888574703505915e+18,3414312570495684.0,3.7e+19,1.7473652227659405e+19,19512016822015.316,-7885333607883.308,-309470196.5340803,2.444031904434992,0.013967084339309462,-0.40412704026507,1.721049373773211,481.8938246564991
43,4.173951935033669e+18,3404184222528679.5,3.7e+19,1.7440740246071069e+19,19498037039758.895,-7876491683446.628,-309451729.8690712,2.4367818343082885,0.01395707733697845,-0.4039633152499143,1.7088228797522562,478.4704063306317
44,4.158495038494714e+18,3392726508631508.5,3.7e+19,1.739613630947554e+19,19481645685850.996,-7865002947078.279,-309433263.20406204,2.4285801779753107,0.013945344084360056,-0.4037134785173936,1.6961901553542391,474.9332434991869
45,4.1446405005816433e+18,3380625449477418.0,3.7e+19,1.7339833979110574e+19,19463550293236.42,-7851012715143.138,-309414796.5390529,2.419918002489204,0.01393239104741333,-0.40337002226522684,1.6849068501477165,471.77391804136056
46,4.1309152353182305e+18,3365383445401154.5,3.7e+19,1.7252096448298211e+19,19439232029096.297,-7829961689355.944,-309390844.88855237,2.409007477023017,0.01391498355697659,-0.40279171922204526,1.6737659552389814,468.65446746691475
47,4.1214290405140454e+18,3352045382882312.0,3.7e+19,1.7151796751885318e+19,19415747359921.418,-7806697809057.897,-309366893.23805183,2.399459830266508,0.013898172770165654,-0.4020807267595953,1.6660875409705564,466.50451147175573
48,4.115594035860365e+18,3341583971341138.0,3.7e+19,1.7043672199559182e+19,19394510804166.75,-7782318530451.197,-309342941.5875513,2.391971346700886,0.01388297122703418,-0.40126397664947705,1.661373279653043,465.184518302852
49,4.1133067374406144e+18,3335780272647210.5,3.7e+19,1.6961111174513445e+19,19380529546899.29,-7764025510609.254,-309325118.9031755,2.387816945345176,0.013872963168861338,-0.40060956496678535,1.659527130359872,464.66759650076415
50,4.112526836915452e+18,3331572891179878.5,3.7e+19,1.6879199854704454e+19,19368218095567.387,-7746030651886.305,-309307296.21879965,2.3848052191695626,0.013864150390527836,-0.3999351212210411,1.6588978831561458,464.4914072837208
51,4.1130707578551137e+18,3328831967635880.5,3.7e+19,1.6799700934818767e+19,19357609998214.414,-7728633942362.406,-309289473.5344238,2.3828432123377814,0.013856556906381112,-0.39925558697976204,1.6593367223422242,464.61428225582273
52,4.1140511375346616e+18,3327794523107405.0,3.7e+19,1.6750378118484517e+19,19351692003751.13,-7717848942301.003,-309277985.7441692,2.3821005891964244,0.013852320689871961,-0.3988203688238205,1.6601278460438036,464.83579689226497
53,4.115068639327282e+18,3327235528361057.0,3.7e+19,1.6702952694501005e+19,19346434712993.168,-7707455107745.295,-309266497.9539145,2.3817004497931693,0.013848557418033763,-0.39839149807633173,1.6609491250654975,465.06575501833925
54,4.11538525624179e+18,3326967366276261.5,3.7e+19,1.665750441669617e+19,19341634692076.625,-7697428318267.631,-309255010.1636599,2.3815084941132865,0.013845121468916697,-0.3979719625984308,1.6612047246018518,465.13732288851844
55,4.1133345304739937e+18,3326375288413821.5,3.7e+19,1.6575337505601782e+19,19332637566992.797,-7678960361644.873,-309233088.6288634,2.381084673166658,0.013838681150316964,-0.3972018993805272,1.6595495568170735,464.67387590878053
56,4.1081094673657856e+18,3324725377863463.5,3.7e+19,1.6497447435988625e+19,19322589843963.44,-7660859345162.711,-309211167.0940669,2.3799036348342617,0.013831488793101962,-0.3964716638414822,1.6553360683844403,463.4940991476432
57,4.100103193071602e+18,3321226923756666.0,3.7e+19,1.6421194078309003e+19,19310311771895.016,-7642489145629.39,-309189245.55927044,2.3773993727678353,0.01382269990829994,-0.39577243681547225,1.6488902030579096,461.6892568562146
58,4.092642272753069e+18,3317298616432880.5,3.7e+19,1.6364421512277369e+19,19299470730900.18,-7628460910180.458,-309173109.4959875,2.3745874133377813,0.01381493967852554,-0.3952678815158702,1.6428947221127612,460.0105221915731
59,4.084017687667414e+18,3312222641847099.5,3.7e+19,1.630565098841322e+19,19286935246742.08,-7613747450021.907,-309156973.4327045,2.3709539311718677,0.013805966533100986,-0.39476191279835454,1.6359777454361626,458.07376872212546
60,4.0743559279909094e+18,3306057083230044.5,3.7e+19,1.6243775964394715e+19,19272634410127.52,-7598164879446.51,-309140837.36942154,2.3665405033858584,0.013795729713763435,-0.3942463037359217,1.6282462770604884,455.90895757693676
61,4.0564397325334697e+18,3293669739840374.5,3.7e+19,1.6132213247207975e+19,19244989345819.574,-7570101642567.326,-309114180.0343446,2.357673400028901,0.013775940834516517,-0.39335442106709795,1.6139579625447311,451.90822951252466
62,4.040406046743681e+18,3280044289877734.0,3.7e+19,1.6007376228203964e+19,19213737272652.465,-7539196613066.172,-309087522.6992677,2.3479200357034604,0.013753569987582294,-0.3923857449532713,1.601224356811972,448.34281990735207
63,4.0314647674261914e+18,3267428316685395.5,3.7e+19,1.5872853246884246e+19,19181758761225.77,-7506587185771.462,-309060865.36419076,2.3388892746495316,0.013730679141893893,-0.39133988072800524,1.5941452897323758,446.3606811250652
64,4.0298259870229775e+18,3259382869383445.5,3.7e+19,1.5760671729607772e+19,19157388975714.266,-7479872190740.887,-309039033.46455175,2.3331301856717577,0.01371323477144901,-0.3904431966288875,1.5928495209568412,445.9978658679155
65,4.0325908603315937e+18,3254779663481262.5,3.7e+19,1.5651180937856287e+19,19136825484249.617,-7454259035260.74,-309017201.56491274,2.3298351206021923,0.01369851502093745,-0.38952432530650904,1.5950359865492159,446.61007623378043
66,4.0391594921187927e+18,3253942747085120.5,3.7e+19,1.5549017547541572e+19,19121109567717.004,-7430643640630.143,-308995369.6652737,2.32923603943101,0.013687265259639946,-0.3886094378736064,1.6002364829709745,448.06621523187283
67,4.046350330853886e+18,3255711665736084.5,3.7e+19,1.5479187893204226e+19,19112721827585.555,-7414536821939.059,-308978815.1559518,2.33050226609598,0.01368126115074127,-0.3879372539832393,1.6059392958427356,449.6630028359659
68,4.0551971961254385e+18,3259395781260252.5,3.7e+19,1.541797331751206e+19,19107519924361.87,-7400321102450.364,-308962260.64662987,2.333139428246423,0.013677537526386452,-0.38729888189283207,1.6129693644033232,451.63142203293046
69,4.065510903342251e+18,3264840075930771.5,3.7e+19,1.5366774532550664e+19,19105554766742.44,-7388233662594.765,-308945706.13730794,2.3370365611530217,0.013676130828018926,-0.38670605239140526,1.6211844267064717,453.93163947781204
