age,d13c,d13c_std,pco2,pco2_std,u,u_std
-310000000.0,4.457472,0.1327309999999997,495.06857619047616,313.17954285714285,-0.4329596906707266,0.11092731200083995
-308850000.0,4.271463,0.11471900000000002,461.23208902953587,146.95862489451477,-0.4146456044956848,0.047128535861538465
-307700000.0,4.133058,0.10122199999999992,475.03038897590363,119.25039409638555,-0.41652987222758875,0.03029135850201244
-306550000.0,4.279813245901639,0.12680075409836047,370.7973118072289,138.5242318072289,-0.3593992852887071,0.058519494611575976
-305400000.0,4.216516043478261,0.20324421739130474,315.1667743373494,116.15283578313253,-0.40940035659211305,0.061613676832254285
-305200000.0,4.2193126,0.20417180000000013,318.91836,112.18285548192773,-0.4432024787,0.06898827313235294
-305000000.0,4.107976264150944,0.18339564150943408,343.84234050632915,117.37997341772154,-0.47906435593058827,0.07823671297705885
-304800000.0,3.9813483396226417,0.16183639622641532,373.7920325301205,129.01332289156628,-0.4946233031877575,0.07160392955797526
-304600000.0,3.8567660000000004,0.14156800000000014,400.1629754216867,130.84402542168675,-0.5013010441529412,0.06479688005882353
-304400000.0,3.7612295,0.14323299999999994,450.0699470481928,136.93624445783132,-0.48650426253411766,0.06683803168235292
-304200000.0,3.5048475555555556,0.2405157777777778,508.24883725135624,134.1935849909584,-0.4414271388156863,0.07191682959019607
-304000000.0,2.8098554,0.2527996000000002,555.3914286746988,151.72914879518072,-0.4967790432448378,0.08406344974041301
-303800000.0,2.4034895,0.23032549999999996,575.0281047619047,171.68432477396018,-0.42710369282352945,0.11146859264705881
-303600000.0,2.9756501111111113,0.2419721111111111,564.0455339759036,187.49818210843372,-0.5304233064057143,0.09895321561999999
-303400000.0,3.5429630000000003,0.2583820000000001,537.7939766124172,192.1194678722122,-0.3932534828105023,0.06407977967123288
-303200000.0,3.8019375714285712,0.1743704285714284,508.4990390361446,188.32704915662654,-0.42418150080239864,0.05966682583323814
-303000000.0,3.9647442352941176,0.14748841176470584,481.0868382157927,167.58374882459313,-0.41168327920616793,0.06390796834209023
-302800000.0,4.068047846153846,0.12929438461538434,463.05339518072293,138.5167493975904,-0.40064355889726033,0.057063520089041087
