age,d13c,std
-290000000.0,3.9564601578947367,0.24513410526315765
-290500000.0,3.9715592352941176,0.2310963529411762
-291000000.0,4.111489000000001,0.07566700000000015
-291500000.0,4.376971545454546,0.0761584545454546
-292000000.0,4.162685153846154,0.07498407692307706
-292500000.0,3.900863,0.0692630000000003
-293000000.0,3.6638354285714287,0.10501014285714286
-293500000.0,3.6030946999999998,0.09915800000000004
-294000000.0,3.667276076923077,0.1410053076923076
-294500000.0,4.126545,0.14077800000000007
-295000000.0,4.224041000000001,0.10755685714285741
-295500000.0,4.787698,0.22251371428571406
-296000000.0,5.137763428571429,0.18025457142857146
-296500000.0,4.516729181818182,0.4030564545454547
-297000000.0,5.166595,0.1701162500000004
-297500000.0,5.290126538461538,0.1028515384615381
-298000000.0,5.0514111538461535,0.16303307692307667
-298500000.0,4.9952215833333335,0.11869525000000032
-299000000.0,5.161186,0.0775233157894734
-299500000.0,5.211381,0.0722529999999999
-300000000.0,5.041397333333334,0.10033650000000005
-300500000.0,5.014378375,0.09099425000000017
-301000000.0,4.920341826086957,0.12155991304347788
-301500000.0,4.592698111111112,0.07557711111111143
-302000000.0,4.319646238095238,0.07038671428571444
-302500000.0,4.1788024,0.10361959999999967
-303000000.0,3.9647442352941176,0.14748841176470584
-303500000.0,3.3044653333333334,0.2770886666666669
-304000000.0,2.8098554,0.2527996000000002
-304500000.0,3.809319,0.12902199999999997
-305000000.0,4.107976264150944,0.18339564150943408
-305500000.0,4.194507347826087,0.1898307391304351
-306000000.0,4.146687,0.16347900000000015
-306500000.0,4.269398901639344,0.12788509836065562
-307000000.0,4.355162285714285,0.11132957142857107
-307500000.0,4.190498,0.09799014814814766
-308000000.0,4.136451,0.07026299999999974
-308500000.0,4.237356999999999,0.0918112857142858
-309000000.0,4.292085,0.1294265000000001
-309500000.0,4.382126818181819,0.14169821212121242
-310000000.0,4.457472,0.1327309999999997
