,Temperature,ccdeg,oxidw,locb,mocb,silw,carbw,mccb,delta_ocn,phosw,mopb,fepb,capb,ANOX,UPLIFT,PG,DEGASS,VEG,EVO,Age
0,286.63489304394597,9980609339569.201,6237880837230.75,3118940418615.375,3118940418615.375,9980609339569.201,7459876332837.729,17440485672406.93,4.42,48522511958.822174,12429209661.722626,11141778948.17656,24951523348.922993,0.004975195257661703,1.0,1.0,1.0,1.1462096568998188,1.0,-311000000.0
1,286.6308386191333,9980609339569.201,6237880837230.75,3117536208030.5723,3118370321212.6885,9971416534722.13,7453488237559.995,17424904772282.125,4.421788303480405,48477819498.878006,12426966139.301489,11140794563.103153,24946962569.7015,0.004972163957227713,1.0,1.0,1.0,1.145693609936236,1.0,-310990675.9816113
2,286.6269917543249,9980609339569.201,6237880837230.75,3116203635641.2305,3117322732073.2524,9962699347303.195,7447429100905.137,17410128448208.332,4.42336793710362,48435439337.86863,12422843463.394857,11138985390.380085,24938581856.586018,0.00496659782450169,1.0,1.0,1.0,1.1452038899877353,1.0,-310981351.9632226
3,286.6197022682161,9980609339569.201,6237880837230.75,3113677861363.452,3114476953559.3525,9946194375579.76,7435952705657.533,17382147081237.293,4.426095096687469,48355197474.813705,12411643779.120499,11134068777.14456,24915815628.474823,0.004951503982505402,1.0,1.0,1.0,1.1442756687075017,1.0,-310962703.92644525
4,286.6132100686372,9980609339569.201,6237880837230.75,3111427616218.033,3110565918329.6597,9931509362511.227,7425737234884.1,17357246597395.326,4.42790894252632,48283803665.27862,12396250720.299973,11127306982.825274,24884527346.637276,0.004930823332128148,1.0,1.0,1.0,1.1434487042997572,1.0,-310944055.88966787
5,286.6074733414174,9980609339569.201,6237880837230.75,3109438655027.102,3106278012385.3223,9918544734282.492,7416714971424.701,17335259705707.193,4.428774505779071,48220773813.406105,12379373033.45804,11119887290.168238,24850224099.082584,0.004908233787712026,1.0,1.0,1.0,1.1427177616659585,1.0,-310925407.8528905
6,286.60154116266284,9980609339569.201,6237880837230.75,3107381370122.16,3101189836365.8267,9905149788450.66,7407389736305.196,17312539524755.855,4.42866155327501,48155651895.77568,12359343582.519073,11111074236.197172,24809518690.92661,0.00488154174586685,1.0,1.0,1.0,1.1419617100880044,1.0,-310903212.8364791
7,286.5964766589418,9980609339569.201,6237880837230.75,3105624546770.5195,3096396907894.123,9893723227335.787,7399432024053.061,17293155251388.848,4.427470011115405,48100099631.43181,12340474576.541342,11102764031.612263,24771175263.152977,0.0048565107959441765,1.0,1.0,1.0,1.1413160780396656,1.0,-310881017.82006776
8,286.59216898617746,9980609339569.201,6237880837230.75,3104129935473.4365,3092059142157.1714,9884010872583.305,7392666082384.547,17276676954967.852,4.425388756594824,48052881286.98091,12323395986.468262,11095235861.238464,24736473137.257366,0.004833950462446276,1.0,1.0,1.0,1.1407668088417664,1.0,-310858822.8036564
9,286.589060450503,9980609339569.201,6237880837230.75,3103051197613.9146,3088805002022.6855,9877005960159.902,7387785068513.614,17264791028673.516,4.4230874047558615,48018825656.180145,12310582907.397005,11089583854.699646,24710440016.181488,0.004817084132807276,1.0,1.0,1.0,1.1403703730059076,1.0,-310840175.39186513
10,286.5863559663462,9980609339569.201,6237880837230.75,3102112549501.5894,3085902224619.0083,9870914140342.584,7383539502879.992,17254453643222.576,4.420396773808256,47989209187.8985,12299152642.135815,11084538887.22898,24687217796.952053,0.0048020808939387176,1.0,1.0,1.0,1.140025420109611,1.0,-310821527.98007387
11,286.5840049793827,9980609339569.201,6237880837230.75,3101296494881.972,3083328779221.0063,9865620522970.283,7379849628108.884,17245470151079.168,4.417410182069685,47963473323.13175,12289018663.436844,11080063742.587093,24666630233.76804,0.0047888128511950736,1.0,1.0,1.0,1.139725520284664,1.0,-310802880.5682826
12,286.580176225874,9980609339569.201,6237880837230.75,3099967301342.6772,3079048070580.4727,9857003371038.03,7373841916817.025,17230845287855.055,4.410886661936855,47921579502.47834,12272160560.25148,11072614406.49553,24632384564.643784,0.0047668111551664085,1.0,1.0,1.0,1.1392370420625295,1.0,-310765604.87854385
13,286.5772978984126,9980609339569.201,6237880837230.75,3098967904450.7896,3075761423954.026,9850528460659.6,7369326762386.449,17219855223046.049,4.40397845474454,47890100571.12451,12259216311.008968,11066890442.015415,24606091391.6322,0.004749976647060592,1.0,1.0,1.0,1.1388697640081875,1.0,-310728329.1888051
14,286.5751369507342,9980609339569.201,6237880837230.75,3098217505368.045,3073278355693.6562,9845669113896.74,7365937642042.345,17211606755939.086,4.397049685771005,47866475990.36088,12249436376.9222,11062563377.556097,24586226845.54924,0.004737291452031626,1.0,1.0,1.0,1.1385939925731077,1.0,-310691053.49906635
15,286.5729311596567,9980609339569.201,6237880837230.75,3097451457498.647,3070743795844.783,9840710510161.352,7362478810940.556,17203189321101.906,4.3875161336048505,47842368854.12666,12239453168.816593,11058144275.138412,24565950366.758266,0.0047243727096816885,1.0,1.0,1.0,1.1383124702136835,1.0,-310637426.47692406
16,286.5714816768974,9980609339569.201,6237880837230.75,3096948025337.398,3069072002631.688,9837452953126.219,7360206263776.759,17197659216902.977,4.378830464246039,47826531659.74144,12232867996.95615,11055228163.018028,24552576021.053505,0.004715867807746588,1.0,1.0,1.0,1.1381274590472716,1.0,-310583799.4547818
17,286.57052256243685,9980609339569.201,6237880837230.75,3096614888784.304,3067957349086.7617,9835297825822.89,7358702680958.797,17194000506781.688,4.371196014451841,47816054124.07295,12228477277.523245,11053283306.683884,24543658792.694088,0.004710204422790592,1.0,1.0,1.0,1.1380050314651533,1.0,-310530172.4326395
18,286.5700740997868,9980609339569.201,6237880837230.75,3096459115808.897,3067435220671.739,9834290235315.254,7357999676474.359,17192289911789.613,4.366739963056139,47811155543.155396,12226420536.064686,11052372137.660175,24539481765.373898,0.004707553542921746,1.0,1.0,1.0,1.1379477849439852,1.0,-310494668.3319043
19,286.569730543982,9980609339569.201,6237880837230.75,3096339779941.118,3067037487782.044,9833518390617.531,7357461140174.492,17190979530792.023,4.3627389871444056,47807403082.52886,12224853793.72752,11051677985.453125,24536299902.256348,0.0047055350723220245,1.0,1.0,1.0,1.137903929048808,1.0,-310459164.2311691
20,286.56946915107284,9980609339569.201,6237880837230.75,3096248982519.559,3066735144097.416,9832931161985.34,7357051407400.966,17189982569386.305,4.359161437501988,47804548165.82401,12223662799.133896,11051150274.930502,24533881152.77932,0.004704001185002585,1.0,1.0,1.0,1.1378705610239521,1.0,-310423660.1304339
21,286.56917827380005,9980609339569.201,6237880837230.75,3096147942135.6226,3066397116068.4487,9832277722055.96,7356595468298.927,17188873190354.887,4.354327645056065,47801371351.091675,12222331228.601887,11050560241.639387,24531176928.54759,0.004702286759188527,1.0,1.0,1.0,1.1378334287135323,1.0,-310368023.5050515
22,286.5689904419688,9980609339569.201,6237880837230.75,3096082695346.5244,3066177634719.264,9831855782863.924,7356301054810.854,17188156837674.777,4.350336507064595,47799320018.4731,12221466636.380644,11050177111.225348,24529421077.75411,0.004701173866200762,1.0,1.0,1.0,1.1378094505383483,1.0,-310312386.8796691
23,286.5688683034001,9980609339569.201,6237880837230.75,3096040268001.513,3066035164642.2295,9831581421056.633,7356109613435.171,17187691034491.805,4.347067438377955,47797986159.62517,12220905409.045248,11049928403.640327,24528281317.13783,0.00470045158236292,1.0,1.0,1.0,1.137793858501938,1.0,-310256750.25428665
24,286.56881769676954,9980609339569.201,6237880837230.75,3096022688677.657,3066032602175.124,9831467744014.643,7356030292592.244,17187498036606.887,4.33893410187688,47797433498.41564,12220895314.795675,11049923930.317644,24528260817.401,0.004700438592221855,1.0,1.0,1.0,1.1377873981057582,1.0,-310041422.7257748
25,286.5676771188519,9980609339569.201,6237880837230.75,3095594043334.0146,3065262504384.105,9828802933678.166,7354165594979.184,17182968528657.35,4.3384202535266905,47784478047.79932,12217861670.064028,11048579455.29564,24522100035.072834,0.004696536040075152,1.0,1.0,1.0,1.1376298710721107,1.0,-309987590.8436469
26,286.5608642064498,9980609339569.201,6237880837230.75,3093086170293.5312,3061108470685.301,9813062903896.445,7343156919623.195,17156219823519.64,4.340306659559381,47707955086.391754,12201496949.411142,11041323417.819502,24488867765.482403,0.004675532163293618,1.0,1.0,1.0,1.1367082284911483,1.0,-309933758.96151894
27,286.55333328574125,9980609339569.201,6237880837230.75,3090327828596.7046,3058168181119.8784,9795729168320.658,7331030396520.009,17126759564840.668,4.3402943338360185,47623684040.09074,12189912989.522148,11036183687.121483,24465345448.959023,0.004660713257623816,1.0,1.0,1.0,1.1356945387550244,1.0,-309879927.079391
28,286.5526525724848,9980609339569.201,6237880837230.75,3090052525617.583,3057448026111.031,9794081142027.871,7329873157297.313,17123954299325.184,4.339335045646352,47615671866.40679,12187075674.730106,11034924350.71988,24459584208.888237,0.004657089763446843,1.0,1.0,1.0,1.135593364993782,1.0,-309865151.2810353
29,286.55245688902335,9980609339569.201,6237880837230.75,3089945836508.947,3055947436343.317,9793520109218.24,7329475158842.802,17122995268061.043,4.3382838426063275,47612944305.364334,12181163430.64199,11032299659.765867,24447579490.74652,0.004649547112005914,1.0,1.0,1.0,1.13555415677875,1.0,-309850375.4826796
30,286.5527149897883,9980609339569.201,6237880837230.75,3089996906652.254,3054860798922.529,9793975947983.094,7329787451119.323,17123763399102.418,4.336975244406176,47615160446.80083,12176882035.450096,11030398503.363777,24438886391.380234,0.0046440916124044895,1.0,1.0,1.0,1.13557292504091,1.0,-309835599.6843239
31,286.5538735672704,9980609339569.201,6237880837230.75,3090341245412.8345,3054073138695.196,9796387205402.201,7331462406733.157,17127849612135.36,4.334628081004935,47626883204.698044,12173778569.256239,11029020161.758823,24432585109.56156,0.004640140515507237,1.0,1.0,1.0,1.1356994694308786,1.0,-309813264.6192799
32,286.55583024906304,9980609339569.201,6237880837230.75,3090963005711.91,3054131093245.267,9800588056676.12,7334387048168.915,17134975104845.035,4.332062988290768,47647306392.22506,12174006917.952677,11029121585.233854,24433048745.962135,0.004640431133034634,1.0,1.0,1.0,1.1359279661520163,1.0,-309790929.55423594
33,286.55845875424785,9980609339569.201,6237880837230.75,3091818230515.279,3054912722046.9766,9806296794860.934,7338364210178.75,17144661005039.684,4.329475468638535,47675060440.842545,12177086616.587093,11030489356.68299,24439301776.375816,0.00464435217124524,1.0,1.0,1.0,1.1362422610075995,1.0,-309768594.48919195
34,286.56459374331354,9980609339569.201,6237880837230.75,3093843955121.554,3057852048728.1533,9819724838118.271,7347721511460.296,17167446349578.566,4.325187972984197,47740343267.5087,12188667474.630133,11035630889.07627,24462816389.825222,0.0046591223295950005,1.0,1.0,1.0,1.1369867141853756,1.0,-309727924.28324956
35,286.5720884880533,9980609339569.201,6237880837230.75,3096341516099.4917,3062367764762.993,9836220371286.564,7359215166812.014,17195435538098.578,4.3218842588107185,47820539243.344795,12206458041.984966,11043523746.350685,24498942118.103947,0.00468189109114994,1.0,1.0,1.0,1.1379045670864831,1.0,-309687254.07730716
36,286.58056736293173,9980609339569.201,6237880837230.75,3099180020579.0146,3068053021312.538,9854948200463.312,7372259765516.906,17227207965980.219,4.319930109988433,47911587924.2694,12228854142.488195,11053450254.047918,24544424170.5003,0.004710690293460496,1.0,1.0,1.0,1.1389477166209097,1.0,-309646583.8713648
37,286.5890823845248,9980609339569.201,6237880837230.75,3102037634170.8413,3074095912282.5586,9873804967791.0,7385388271191.634,17259193238982.633,4.31947422046907,48003263461.00591,12252656495.315567,11063988321.594292,24592767298.26047,0.004741464923063897,1.0,1.0,1.0,1.1399978887483062,1.0,-309608824.12334
38,286.58652624566787,9980609339569.201,6237880837230.75,3101051690176.0767,3075932555362.7607,9867733835513.715,7381141044356.321,17248874879870.035,4.325238421132628,47973747568.88896,12259890320.845766,11067188578.038683,24607460442.902084,0.004750851957492154,1.0,1.0,1.0,1.1396355546295727,1.0,-309571064.37531525
39,286.562300961118,9980609339569.201,6237880837230.75,3092538155207.3745,3069790797680.3853,9812963650146.016,7342920850749.014,17155884500895.03,4.33903279683534,47707472546.58598,12235699346.416836,11056482082.980087,24558326381.44309,0.00471952294355556,1.0,1.0,1.0,1.1365068331133683,1.0,-309533304.6272905
40,286.5403713864547,9980609339569.201,6237880837230.75,3084857575495.4185,3062066948062.9214,9763659738130.568,7308469850136.228,17072129588266.797,4.348353911077884,47467772786.88278,12205272960.317804,11042998190.380245,24496535584.503376,0.0046803714248287425,1.0,1.0,1.0,1.133684222401125,1.0,-309512268.59622043
41,286.5134363550263,9980609339569.201,6237880837230.75,3075425996420.0024,3049570544945.099,9703358489569.258,7266270816227.4795,16969629305796.738,4.357793100407458,47174607514.61351,12156037008.333052,11021136645.278845,24396564359.560795,0.004617608810238234,1.0,1.0,1.0,1.1302181199544308,1.0,-309491232.5651504
