age,pco2,pco2_std,d13c,d13c_std,u,u_std
-310000000,500,150,4.46,0.14,-0.37,0.1
-304590000,375,150,4.17,0.14,-0.37,0.1
-304190000,600,150,2.17,100,-0.56,0.1
-301800000,421.45,150,4.23,0.14,-0.43,0.1
-301300000,462.88,150,4.67,100,-0.61,0.1
-297550000,225.825,150,5.21,0.14,-0.33,0.1
-297000000,388.62,150,4.56,100,-0.47,0.1
-294300000,195.29,150,5.19,0.14,-0.28,0.1
-294000000,337.96,150,3.66,100,-0.49,0.1
-290950000,251.98,150,4.25,0.14,-0.29,1
-290030000,372,150,3.53,100,-0.45,1
